year,name,artists,album,popularity,release_date
2000,That's The Way It Is,Céline Dion,My Love Essential Collection,0,2008-10-27
2000,Only God Knows Why,Rock Kid,Rock N Roll Cowboy: The Essential Kid Rock Tribute,8,2010-12-09
2000,It Feels So Good,Sonique,Hear My Cry,0,1999-10-21
2000,Just A Piece,Versed In Grey,Asides To My Demons,3,2010-03-30
2000,He Wasn't Man Enough - Radio Edit,Toni Braxton,Ultimate Toni Braxton,7,2003-10-27
2000,Get It On Tonite,Montell Jordan,Get It On...Tonite,0,1999-11-09
2000,Higher,Creed,Greatest Hits,0,2004
2000,Better Off Alone - Hitradio Mix,Alice Deejay,Better Off Alone,1,1999
2000,Maria Maria - Radio Mix,"Santana, The Product G&B",Ultimate Santana,0,2007-10-10
2000,Desert Rose,Sting,The Very Best Of Sting And The Police,0,2002-01-01
2000,Try Again,Aaliyah,Aaliyah,0,2001-01-01
2000,Give Me Just One Night (Una Noche),ProSound Tribute Band,Tribute To: 98 Degrees,1,2011-04-05
2000,My Best Friend,Tim McGraw,Number One Hits,0,2010-11-30
2000,With Arms Wide Open,Creed,Greatest Hits,0,2004
2000,Big Pimpin',"JAY-Z, UGK",The Hits Collection Volume One (Deluxe),0,2010-11-22
2000,Smooth,Santana,Ultimate Santana,0,2007-10-10
2000,That's The Way,Jo Dee Messina,Greatest Hits,0,2003-05-20
2000,Gotta Tell You,Samantha Mumba,Gotta Tell You (EU Version),0,2000
2000,How Do You Like Me Now?!,Toby Keith,Toby Keith 35 Biggest Hits,0,2008-01-01
2001,Ms. Jackson,Outkast,Stankonia,85,2000-10-31
2001,U Remind Me,USHER,8701,75,2001-08-07
2001,Sippin On Some Syrup (feat. UGK (Underground Kingz) & Project Pat),"Three 6 Mafia, UGK, Project Pat","When the Smoke Clears: Sixty 6, Sixty 1",62,2000-06-13
2001,"Girls, Girls, Girls",JAY-Z,The Blueprint,42,2001-09-11
2001,Kryptonite,3 Doors Down,The Better Life - Deluxe Edition,2,2007-01-01
2001,Thank You,Dido,No Angel,80,1999
2001,"So Fresh, So Clean",Outkast,Stankonia,77,2000-10-31
2001,Izzo (H.O.V.A.),JAY-Z,The Blueprint,44,2001-09-11
2001,Let Me Blow Ya Mind,"Eve, Gwen Stefani",Scorpion,79,2001-01-01
2001,Where the Party At (feat. Nelly),"Jagged Edge, Nelly",Jagged Little Thrill,67,2001-07-03
2001,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack","Christina Aguilera, Lil' Kim, Mýa, P!nk",Moulin Rouge,69,2001-09-03
2001,Family Affair,Mary J. Blige,No More Drama,2,2001-08-28
2001,I'm Like A Bird,Nelly Furtado,"Whoa, Nelly! (Special Edition)",7,2008-01-01
2001,Differences,Ginuwine,Greatest Hits,50,2006
2001,Follow Me,Uncle Kracker,Double Wide,76,2000-06-13
2001,Always On Time,"Ja Rule, Ashanti",Pain Is Love,11,2001-01-01
2001,Survivor,Destiny's Child,Survivor,66,2001-01-01
2001,It's Been Awhile,Staind,Break the Cycle,73,2001-08-20
2001,Never Give Up (Better Late Than Never),"Brian McKnight Jr., DJ Pleez",SoulShine,0,2019-11-29
2001,I Hope You Dance,Lee Ann Womack,I Hope You Dance,66,2000-01-01
2001,It's A Great Day To Be Alive,Travis Tritt,Down The Road I Go,76,2000-10-01
2001,This I Promise You,*NSYNC,No Strings Attached,59,2000-03-21
2001,Austin,Blake Shelton,Blake Shelton,67,2001-07-31
2001,Put It On Me,"Ja Rule, Vita",Rule 3:36,68,2000-01-01
2001,Hemorrhage (In My Hands),Fuel,The Best of Fuel,50,2005
2001,Peaches & Cream (feat. P. Diddy),"112, Diddy",R&B Hits,53,2005-10-04
2001,It Wasn't Me,"Shaggy, Rik Rok",The Boombastic Collection - Best Of Shaggy (International Version),54,2008-01-01
2001,Again,Lenny Kravitz,Greatest Hits,55,2000
2001,When It's Over - Remastered,Sugar Ray,The Best Of Sugar Ray,53,2005-06-17
2001,I'm Already There,Lonestar,I'm Already There,59,2001-03-27
2001,Here's to the Night,Eve 6,Horrorscope,55,2000
2001,Fallin',Alicia Keys,Songs In A Minor (Expanded Edition),3,2001-06-26
2001,Promise,Jagged Edge,J.E. Heartbreak,60,2000-01-18
2001,The Space Between,Dave Matthews Band,Everyday,60,2001-02-27
2001,No More (Baby I'ma Do Right),3LW,3LW,56,2000-11-06
2001,I'm a Thug,Trick Daddy,THUGS ARE US,63,2001-03-20
2001,The Way You Love Me,Faith Hill,Breathe,62,1999-11-09
2001,Beautiful Day,U2,U218 Singles (Deluxe Version),0,2006-01-01
2001,One More Day,Diamond Rio,16 Biggest Hits,45,2007-07-24
2001,E.I.,Nelly,Country Grammar,1,2000-06-27
2001,Case Of The Ex (Whatcha Gonna Do),Mýa,Fear Of Flying,59,2000
2001,Ain't Nothing 'Bout You,Brooks & Dunn,#1s ... and then some,61,2009-09-08
2001,What Would You Do?,City High,City High,62,2001-01-01
2001,Butterfly,Crazy Town,Butterfly,51,1999-03-16
2001,Heard It All Before,Sunshine Anderson,Your Woman,64,2001
2001,All or Nothing,O-Town,Totally Hits 2001,1,2001-09-25
2001,Don't Happen Twice,Kenny Chesney,Greatest Hits,57,2000-09-25
2001,I'm Real - Murder Remix,"Jennifer Lopez, Ja Rule",J.Lo,0,2001-07-24
2001,Turn Off The Light,Nelly Furtado,"Whoa, Nelly! (Special Edition)",0,2008-01-01
2001,Contagious,The Isley Brothers,Eternal,58,2001-01-01
2001,Music (feat. Marvin Gaye),"Erick Sermon, Marvin Gaye",Music,43,2001-09-12
2001,Regulate,"Nate Dogg, Warren G",Above The Rim,0,2001
2001,Independent Women Part I,Destiny's Child,Survivor,44,2001-01-01
2001,Angel,"Shaggy, Rayvon",The Boombastic Collection - Best Of Shaggy (International Version),50,2008-01-01
2001,It's Over Now,112,Part III,59,2001
2001,Southern Hospitality (Featuring Pharrell),"Ludacris, Pharrell Williams",Back For The First Time,55,2000-01-01
2001,Who I Am,Jessica Andrews,Who I Am,0,2001
2001,Drops of Jupiter,Train,Drops Of Jupiter,0,2001-03-27
2001,There You'll Be,Faith Hill,Pearl Harbor - Original Motion Picture Soundtrack,51,2005-12-06
2001,Stutter (feat. Mystikal) - Double Take Remix,"Joe, Mystikal, Allen Gordon",Greatest Hits,43,2008-10-14
2001,Bootylicious,Destiny's Child,#1's,49,2005
2001,Stranger in My House,Tamia,A Nu Day,56,2000-10-01
2001,You Shouldn't Kiss Me Like This,Toby Keith,Toby Keith 35 Biggest Hits,46,2008-01-01
2001,Don't Tell Me,Madonna,Celebration (double disc version),38,2009-09-18
